OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,DICT
arm2,risc processor,load/store architecture,is-a-property,bool,"yes,no",arm
arm2,v2a isa,v2a instruction set architecture,is-a-instruction-set,bool,"yes,no",arm
arm2,instruction cache,separate instruction cache,is-a-property,bool,"yes,no",arm
arm2,data cache,separate data cache,is-a-property,bool,"yes,no",arm
arm2,unified instruction data cache,von neumann architecture,is-a-property,bool,"yes,no",arm
arm2,32 bit core,32 bit processor,is-a-property,bool,"yes,no",arm
arm2,bus interface,programmable interface,is-a-property,set ,"ahb,apb,axi,wishbone",arm
arm2,system bus width,data bus width,is-a-property,set ,"32,64,128",arm
arm2,coprocessor 15 interface,,is-a-property,bool,"yes,no",arm
arm2,mmu,"memory management unit, virtual memory",is-a-property,bool,"yes,no",arm
arm2,endianess,,is-a-property,set,"little, big",arm
arm2,pipeline stages,pipeline,is-a-property,set,"3,5",arm
arm2,pipeline stall,,is-a-property,bool,"yes,no",arm
arm2,fetch,instruction fetch,is-a-pipeline-stage,bool,"yes,no",arm
arm2,decode,instruction decode,is-a-pipeline-stage,bool,"yes,no",arm
arm2,execute,instruction execute,is-a-pipeline-stage,bool,"yes,no",arm
arm2,memory access,,is-a-pipeline-stage,bool,"yes,no",arm
arm2,write back,,is-a-pipeline-stage,bool,"yes,no",arm
arm2,exception,interrupts,is-a-subfunction ,bool,"yes,no",arm
arm2,supervisor mode ,privileged mode ,is-a-property,bool,"yes,no",arm
arm2,user mode,,is-a-property,bool,"yes,no",arm
arm2,program status word,,is-a-property,bool,"yes,no",arm
arm2,program counter,,is-a-property,bool,"yes,no",arm
arm2,register bank,,is-a-property,bool,"yes,no",arm
arm2,27 registers,,is-a-property,bool,"yes,no",arm
arm2,address space,architecture,is-a-property,set,"26,32,64",arm
arm2,cpsr,current program status register,is-a-property,bool,"yes,no",arm
arm2,spsr,saved program status register,is-a-property,bool,"yes,no",arm
arm2,long multiply,,is-a-property,bool,"yes,no",arm
v2 isa,adc,add with carry ,is-a-instruction,bool,"yes,no",arm
v2 isa,add,add two values,is-a-instruction,bool,"yes,no",arm
v2 isa,and,bitwise and,is-a-instruction,bool,"yes,no",arm
v2 isa,b,branch to target address,is-a-instruction,bool,"yes,no",arm
v2 isa,bic,branch clear ,is-a-instruction,bool,"yes,no",arm
v2 isa,bl,branch and link to target address,is-a-instruction,bool,"yes,no",arm
v2 isa,cdp,coprocessor data processing,is-a-instruction,bool,"yes,no",arm
v2 isa,cmn,compare negative,is-a-instruction,bool,"yes,no",arm
v2 isa,cmp,compare positive,is-a-instruction,bool,"yes,no",arm
v2 isa,eor,exclusive or,is-a-instruction,bool,"yes,no",arm
v2 isa,ldc,load coprocessor,is-a-instruction,bool,"yes,no",arm
v2 isa,ldm,load multiple,is-a-instruction,bool,"yes,no",arm
v2 isa,ldr,load register,is-a-instruction,bool,"yes,no",arm
v2 isa,ldrb,load register byte,is-a-instruction,bool,"yes,no",arm
v2 isa,mcr,move to coprocessor from register,is-a-instruction,bool,"yes,no",arm
v2 isa,mla,multiply accumulate,is-a-instruction,bool,"yes,no",arm
v2 isa,mov,move value,is-a-instruction,bool,"yes,no",arm
v2 isa,mrc,move to register from coprocessor,is-a-instruction,bool,"yes,no",arm
v2 isa,mul,multiply accumulate,is-a-instruction,bool,"yes,no",arm
v2 isa,mvn,move not,is-a-instruction,bool,"yes,no",arm
v2 isa,orr,logical or,is-a-instruction,bool,"yes,no",arm
v2 isa,rsb,reverse subtract,is-a-instruction,bool,"yes,no",arm
v2 isa,rsc,reverse subtract with carry,is-a-instruction,bool,"yes,no",arm
v2 isa,sbc,subtract with carry,is-a-instruction,bool,"yes,no",arm
v2 isa,stc,store multiple,is-a-instruction,bool,"yes,no",arm
v2 isa,stm,store multiple,is-a-instruction,bool,"yes,no",arm
v2 isa,str,store register,is-a-instruction,bool,"yes,no",arm
v2 isa,strb,store register byte,is-a-instruction,bool,"yes,no",arm
v2 isa,sub,subtract value,is-a-instruction,bool,"yes,no",arm
v2 isa,swi,software interrupt,is-a-instruction,bool,"yes,no",arm
v2 isa,swp,swap,is-a-instruction,bool,"yes,no",arm
v2 isa,swpb,swap byte,is-a-instruction,bool,"yes,no",arm
v2 isa,teq,test equivalence,is-a-instruction,bool,"yes,no",arm
v2 isa,tst,Test value,is-a-instruction,bool,"yes,no",arm
v2 isa,eq,equal,is-a-condition-flag,bool,"yes,no",arm
v2 isa,ne,not equal,is-a-condition-flag,bool,"yes,no",arm
v2 isa,cs,carry set,is-a-condition-flag,bool,"yes,no",arm
v2 isa,cc,carry clear,is-a-condition-flag,bool,"yes,no",arm
v2 isa,mi,minus,is-a-condition-flag,bool,"yes,no",arm
v2 isa,pl,plus,is-a-condition-flag,bool,"yes,no",arm
v2 isa,vs ,overflow,is-a-condition-flag,bool,"yes,no",arm
v2 isa,vc ,no overflow,is-a-condition-flag,bool,"yes,no",arm
v2 isa,hi,unsigned higher,is-a-condition-flag,bool,"yes,no",arm
v2 isa,ls,unsigned lower,is-a-condition-flag,bool,"yes,no",arm
v2 isa,ge,signed greater or equal,is-a-condition-flag,bool,"yes,no",arm
v2 isa,lt,signed less than,is-a-condition-flag,bool,"yes,no",arm
v2 isa,gt,signed greater than,is-a-condition-flag,bool,"yes,no",arm
v2 isa,le,signed less than or equal,is-a-condition-flag,bool,"yes,no",arm
v2 isa,al ,always unconditional,is-a-condition-flag,bool,"yes,no",arm
v2 isa,lsl,logical shift left,is-a-operation,bool,"yes,no",arm
